"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.4	0.55	0.375	0.1625	0.1625	0.1875
0.1	0.2	0.0875	0.1125	0.125	0.2125
0.575	0.575	0.5625	0.1625	0.1375	0.2625
0.25	0.5	0.225	0.0125	0.2	0.125
0.15	0.35	0.2125	0.025	0.0375	0.075
0.275	0.375	0.2875	0.1625	0.1875	0.2375
0.4	0.425	0.3875	0.2	0.2	0.2625
0.35	0.275	0.2875	0.075	0.05	0.225
0.375	0.425	0.3	0.05	0.0875	0.0375
0.425	0.4	0.3625	0.075	0.125	0.225
0.975	0.175	0.3	0.0375	0.0875	0
0.075	0.35	0.2	0.075	0.1375	0.0875
0.6	0.175	0.5125	0.0625	0.125	0.2125
0.175	0.325	0.2625	0.1	0.125	0.2625
0.3	0.4	0.35	0.1	0.2375	0.3375
0.425	0.3	0.2375	0.075	0.075	0.0875
0.25	0.225	0.2	0.125	0.125	0.1625
0.3	0.3	0.275	0.05	0.05	0.075
0.225	0.275	0.25	0.025	0.075	0.1875
0.475	0.375	0.35	0.125	0.2	0.1875
0.25	0.225	0.1	0.1125	0.125	0.1125
0.175	0.2	0.15	0.075	0.1125	0.15
0.2	0.2	0.2	0.1125	0.125	0.1375
0.15	0.025	0.0375	0.1	0.1	0.0875
0.375	0.3	0.35	0.1375	0.1625	0.375
0.55	0.275	0.325	0.0625	0.125	0.25
0.3	0.45	0.3625	0.1625	0.2125	0.2125
0.175	0.1	0.075	0.0625	0.0625	0.0625
0.35	0.375	0.3125	0.1	0.15	0.2125
0.275	0.3	0.2125	0.075	0.1375	0.1375
0.4	0.225	0.3	0.0625	0.125	0.15
0.25	0.225	0.1625	0.05	0.1375	0.125
0.3	0.425	0.325	0.1375	0.1375	0.2125
0.3	0.2	0.2625	0.0875	0.0875	0.0875
0.2	0.275	0.175	0.0875	0.1375	0.15
0.225	0.275	0.2125	0.05	0.15	0.175
0.425	0.425	0.325	0.125	0.1625	0.25
0.7	0.375	0.3625	0.0875	0.15	0.175
0.375	0.35	0.4	0.1375	0.1625	0.275
0.425	0.575	0.4	0.05	0.2125	0.2625
0.325	0.225	0.25	0.1	0.1625	0.2125
0.475	0.4	0.375	0.0625	0.0875	0.1
0.325	0.225	0.1875	0.05	0.075	0.05
0.15	0.175	0.1375	0.025	0.075	0.1125
0.675	0.375	0.9875	0.1375	0.2625	0.325
0.35	0.375	0.35	0.125	0.2625	0.2875
0.425	0.4	0.3375	0.0875	0.2125	0.225
0.25	0.25	0.225	0.0125	0.075	0.075
0.25	0.4	0.2875	0.075	0.125	0.15
0.975	0.15	0.9875	0.0875	0.1375	0.1875
