"only U"	"only Z"	"early fusion"	"rho=0.25"	"rho=0.5"	"rho=0.75"
0.425	0.7	0.5875	0.5	0.3	0.35
0.25	0.375	0.2625	0.15	0.1375	0.2
0.975	0.525	0.55	0.0875	0.4	0.2625
0.675	0.975	0.7	0.1875	0.25	0.2625
0.375	0.65	1	0.4	0.1625	0.25
0.35	0.425	0.35	0.5375	0.325	0.4375
0.4	0.575	0.525	0.1125	0.175	0.475
0.35	0.4	0.3375	0.125	0.1875	0.1125
0.375	0.425	0.35	0.0875	0.25	0.2625
0.5	0.45	0.475	0.1625	0.35	0.4375
0.975	0.425	0.575	0.225	0.175	0.9875
0.425	0.2	0.4375	0.2875	0.1	0.3
0.5	0.125	0.5	0.1	0	0.325
0.3	0.175	0.5	0.15	0.1375	0.1875
0.975	0.975	0.9875	0.2125	0.2875	0.3
0.375	0.375	0.225	0.1125	0.1375	0.1125
0.575	1	0.5	0.1125	0.1375	0.2875
0.1	0.4	0.1625	0.9875	0.275	0.325
0.025	0.075	0.475	0.0625	0.125	0.2875
0.3	0.425	0.25	0.075	0.275	0.25
0.45	0.675	0.3	0.0875	0.225	0.35
0.55	0.45	0.475	0.15	0.2625	0.125
0.375	0.35	0.35	0.125	0.2	0.225
0.375	0.6	0.3375	0.225	0.8375	0.275
0.6	0.425	0.5	0.1375	0.25	0.275
0.175	0.625	0.7125	0.0875	0.3	0.3
0.475	0.275	0.9875	0.1	0.175	0.3375
1	0.05	0.45	0.1375	0.05	0.05
0.5	0.525	0.45	0.325	0.2125	0.325
0.425	0.625	0.3625	0.1625	0.1	0.3875
0.3	0.575	0.375	0.1875	0.2375	0.325
0.475	0.55	0.4375	0.05	0.1875	0.2625
0.4	0.5	0.3875	0.1625	0.2375	0.05
0.525	0.5	0.4875	0.0625	0.2875	0.2875
0.775	0.525	0.625	0.1	0.2625	0.3
0.35	0.35	0.2375	0.1375	0.1375	0.15
0.275	1	0.6875	0.425	0.15	0.125
0.975	0.05	0.35	0.0875	0.1	0.075
0.275	0.4	0.35	0.1625	0.25	0.2875
0.45	1	0.5875	0.1125	0.1875	0.2625
0.575	0.65	0.5625	0.1125	0.1375	0.25
0.625	0.45	0.4	0.125	0.1625	0.225
0.425	0.975	0.425	0.1375	0.2875	0.3125
0.325	0.325	0.2625	0.1	0.1125	0.25
0.4	0.1	0.3875	0.025	0.0375	0.325
0.025	0.5	0.4875	0.15	0.25	0.2375
0.775	0.975	0.6	0.1875	0.225	0.4125
0.2	0.6	0.7	0.175	0.1875	0.325
0.375	0.425	0.45	0.1	0.2125	0.2625
0.525	0.6	0.5875	0.0625	0.35	0.1125
